Top total rewards,
NodeID-5CJrhHPQdF5MKk6yvarjwBB7WJPBxPEAe,36778.541836793
NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,31316.871210827
NodeID-NkYLNRp4S6exbWamVvMzUUpXvHeVEzLR6,30482.85787847399
NodeID-HpMSfYT2ox1vkr1hFNMwmdWuq8QWhvH2u,27653.522713293
NodeID-LvKMfPzfWT1VfAPLef6denZ8hTwSAFMGY,21704.472352024997
NodeID-AePm1t63f4TKZayW3q4C2E6K4ZHTY2o2D,16704.043276143
NodeID-7JxkjT4JM3qzvQHrChv6YEJ96U9ziA8cb,16676.862525046996
NodeID-AWPFmXs1VyVmGod6eg14ZC67QZafBN8BZ,16158.753083252002
NodeID-N2t1CAS75972obgtRPHwVanMnRF1rRo1B,15000.040873088004
NodeID-77sRzBARyvwQk9g4d2CZaucRQeRA7SJuh,14231.778369469
NodeID-3DwhPYMEQABuocceWDAZEpi8GMcLyvTYy,12812.035982939999
NodeID-MGrikMRTmooL1j7uawPHjaMS1cXkbewdb,12160.133095843004
NodeID-N4vaumNTt2kixxUTtWEBgy4vwsxnuahc2,11969.976250996
NodeID-E2cZYRHSCUKk7wBia3Pmg1gFT6Y8A5Vxo,11176.602791887995
NodeID-P5zxQ1Y22ztxzjunvJU1y8BiSjdP4RUwY,11072.538365008008
NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,11059.055740006
NodeID-D3onstuMsGRctDjbksXU6BV3rrCbWHkB9,10536.094155438997
NodeID-GSgaA47umS1px2ohVjodW9621Ks63xDxD,10531.650451246
NodeID-MXNBsr8xSHE9CKfmyzvBYyEzxAbLuHTAn,10100.474894392002
NodeID-HydSrrCw7Ec8o9kVunjwefzgYCZWkbz4o,9583.914306790997
NodeID-6kDsBHKX9q4veBHoCjyHh94CyLNobXiY4,9567.981175912002
NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,9459.648018589
NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,9160.520220733
NodeID-EB3Sf13da9AS8WBby5jzA3sBS3fY7mm1Y,7607.9211079629995
NodeID-5s9gCg2xSYZQEyw6Dp8ShsQom1W8SXnsc,7536.385515403
NodeID-Hkoxcg5MJCCkUfBZouwx3R2Mxohqo9JAM,6673.593323365
NodeID-4gTwepTF5fcacXB7gdYZLTtfSFsYh4faj,6276.098243798
NodeID-KtJLagoYnWfw2oBnRki63NcguiGjuA2Cr,6124.206015444999
NodeID-32aVnE9HYv1FesKKbvvUh1ZvFU3ARNtR2,6122.096154739999
NodeID-QECwTGrugVMUzYfzPZ8r41Z5ZXZkDT7wx,5851.110626697
NodeID-H8eZ2xwjXoFUoo5kLCF7rFgMEGaqfVfQS,5751.342008793
NodeID-2SE8iaVxjPGPAbbk4hKq48wYHoZAMaQ7t,5683.346898056
NodeID-L7WQizfKW9Y1GZdL9oxKtp5QzgYhViySP,5567.621286617002
NodeID-PocSTWaz3HJLcnpKVR3MUmaE8zc9nJPzg,5287.485443729
NodeID-9JS1nBgULdSJUXR9HJBtXvbvpM2MqPfbR,5282.884997107
NodeID-gAYZWm4RUxSV2fSFAdQqLhSVAqbzUBcw,4968.724023572001
NodeID-JbpJyQjj7M64LojEddtMhpNMdQ8Q1ZycN,4924.433280328001
NodeID-BHK7drcmNhLnePTFwWXaQNRMVB4MrJLzU,4904.221875055003
NodeID-JRNiPWVdV7Vq7MzBmAQB4jekNTfvRAedj,4844.724347855001
NodeID-Nr584bLpGgbCUbZFSBaBz3Xum5wpca9Ym,4817.1837661009995
NodeID-GMJcCQwhNFDGQy4NAkKM563BMudjmHpXb,4632.198472845
NodeID-9jFyex1HDP581kQufBBjGuNARQEQ9nJEx,4359.744475419998
NodeID-36giFye5epwBTpGqPk7b4CCYe3hfyoFr1,3896.5414838939996
NodeID-FTUxYrp4cPZwaZf7Ut8pVtsrbJWVv54zF,3859.957462565999
NodeID-BCjCQfJr4s8wrY7vTuBMDt1teXTmF6naf,3526.629250408
NodeID-76XArRwroAABXkdQ7A6b2nT22GeWBS4U2,3462.8475635710006
NodeID-NmxRpj685tSUWBKYvJ8dJ73fA9ktaQh8o,3373.1616810980004
NodeID-FjXxUM6axBx1GSiatQdqeF1YgZQzpmbkE,3350.1563967
NodeID-5skJ1fKstF3WF7Ka77rxX5fKxp4bu76ES,3155.511004575
NodeID-MuJYGEEzMEFknyeU9poHBuHTQ2jxnfx4w,3105.9428973309996
NodeID-KCQARVq1pjYw31EPSaW9571giKoFH498X,2859.1271199020007
NodeID-6iresvQ2F4jrjYAR8ZL4HBrM5bFYvPvyr,2810.0572214000003
NodeID-2yC7fWX23kGjCd7ytqGzQQcRJf7xaj1N1,2779.002323113
NodeID-LC2MkvPkGBwehNYZ4UZ83MFQ7rPPQrhsc,2738.540680048
NodeID-BQxWjPU1v8KAuCWPDwF6KxZaJVkh4wzAP,2612.610719963
NodeID-5tMfoV9w5aRZsvUicCnpvbG3YiYmxJtwq,2578.931249947
NodeID-NNCuqkczH7E13ob75z9bZh86jWaH3ZjYA,2548.1378744959993
NodeID-Dw7tuwxpAmcpvVGp9JzaHAR3REPoJ8f2R,2529.833608021999
NodeID-AbfdkS6u8F8kxh2pPuK32KASNK4sSr4QR,2508.6030533410003
NodeID-5eogZcASu4bDhWxMuUF6h7VFK5SCt3msp,2317.323047675
NodeID-HFtViaZu9LahP1TbxnSLvHGywDRcWxpQT,2166.110524173
NodeID-57K8XmmzmzigmkUVjmVL76npQ4RH6oh4i,2039.0824603849999
NodeID-Ezk1hTiN5bogETxygJ5NciRvHXgXvUVVM,2018.747511931
NodeID-9PzVetjSSSY4Xtk3VnNcGzQdEjZSSkR4g,1972.8571106780003
NodeID-8ALyunjeYV85zBSrD2rjJdQ754z9jasvq,1968.8253898739997
NodeID-E14zCEsVh4oxzcWUVrs7kFGA8ffrhYvNn,1955.0280404960001
NodeID-Le5rVEBBPdgYEcEJpvYeKo36hRs75WE5S,1935.0774683269992
NodeID-HpEw7munmgQtTNd8PWqp8T4GNU738Jvc2,1828.9755316740004
NodeID-Hr78Fy8uDYiRYocRYHXp4eLCYeb8x5UuM,1827.499965624
NodeID-A6onFGyJjA37EZ7kYHANMR1PFRT8NmXrF,1798.8381893449996
