Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Type of Reward,nAVAX,Node,Time
2eHwqaHT6JNmvKUpy31KPFKC6Aacu2QaJAs1eY3erqjvFN7yYb,P-avax16hlf47kldtn04frvnmshwl6ejp2q3uy2tfmpng,delegatee,150832202,NodeID-Lq38jDL4LGMuDCj5ZJ4J23uMLBMGEWjT5,2020-10-06T10:59:16-04:00
H1WSsp7MnqLBccJ5dFCDB3hgZ4u7yDMUXGHC8ud7xovEvatHy,P-avax16hlf47kldtn04frvnmshwl6ejp2q3uy2tfmpng,delegator,10764364780,NodeID-Lq38jDL4LGMuDCj5ZJ4J23uMLBMGEWjT5,2020-10-06T10:59:52-04:00
H1WSsp7MnqLBccJ5dFCDB3hgZ4u7yDMUXGHC8ud7xovEvatHy,P-avax16hlf47kldtn04frvnmshwl6ejp2q3uy2tfmpng,delegatee,219680914,NodeID-Lq38jDL4LGMuDCj5ZJ4J23uMLBMGEWjT5,2020-10-06T10:59:52-04:00
gfMnKus4V6Ycqy1hiuDD22HZhd7VYGBjDMtYvsEtpDCdB5kgU,P-avax10qnw3u3s5774juf9gec72xhcscx49jafs4g9y3,delegator,199122743988,NodeID-4kuLtWqMdcvCko2EZh9BtH4x3ApdHu9b9,2020-10-06T11:45:29-04:00
gfMnKus4V6Ycqy1hiuDD22HZhd7VYGBjDMtYvsEtpDCdB5kgU,P-avax10qnw3u3s5774juf9gec72xhcscx49jafs4g9y3,delegatee,4063729470,NodeID-4kuLtWqMdcvCko2EZh9BtH4x3ApdHu9b9,2020-10-06T11:45:29-04:00
2ZLxptmBZfoa3c7FTHbRRojkda7Q51sMPzVCFg1j6npamC43m1,P-avax103h96e4le304q4uh9z2wrjjfgq8xn0nzcm0ya0,delegator,361185382,NodeID-3ZrQZzRKzuN7HX1tc4W66GKJGNqzv96Tv,2020-10-06T12:23:59-04:00
2ZLxptmBZfoa3c7FTHbRRojkda7Q51sMPzVCFg1j6npamC43m1,P-avax103h96e4le304q4uh9z2wrjjfgq8xn0nzcm0ya0,delegatee,15049391,NodeID-3ZrQZzRKzuN7HX1tc4W66GKJGNqzv96Tv,2020-10-06T12:23:59-04:00
tsLPjwLTWwycc4Hs1FVPWbTpEEHaAfd7X5f9EQACGMrXRXQN,P-avax1a3thm4r22kcgc0pcfp7v434r9q2lpguf9f3h70,delegator,3388481569,NodeID-2JZva9683sZuXueZvphJfBnZLd9JTmy13,2020-10-06T12:44:23-04:00
tsLPjwLTWwycc4Hs1FVPWbTpEEHaAfd7X5f9EQACGMrXRXQN,P-avax1a3thm4r22kcgc0pcfp7v434r9q2lpguf9f3h70,delegatee,376497953,NodeID-2JZva9683sZuXueZvphJfBnZLd9JTmy13,2020-10-06T12:44:23-04:00
2uurAacsy3Z4MqTo1Qoq9QmWme9dhk6VQ5Li21iSjchHNYRXPR,P-avax1w2x7k6klyfwfpkj6f4k5pswj3xchtugs35p2c6,delegator,7149136612,NodeID-JvmPE3bhpFpmjCM15qmyWfyJDZU8kxZcy,2020-10-06T12:53:07-04:00
