Top total rewards,
NodeID-D3onstuMsGRctDjbksXU6BV3rrCbWHkB9,118228.43368671267
NodeID-MZHTQv5WSJhQMdT4w7RiwgnzfoGSnEsCy,104001.52680421804
NodeID-DVh35F3R11HAAxzeSTbk3eR9w2BzPrJQt,100329.76887796102
NodeID-KjdcPMdxgkkvWRVjxNATQDWRXykwkKcPj,96398.358678672
NodeID-N4vaumNTt2kixxUTtWEBgy4vwsxnuahc2,91645.5574740522
NodeID-5HkCsXm4TQUb9uXxM6Cjy1WzvuDSspPui,87416.85864314702
NodeID-LxrJtyQXpdweZH7LR3ujcEQZJ9VDTW3tC,83387.43553676106
NodeID-69vkfdsq14i5HZSd6m2kUwRAu59ePbeWw,80912.57016150522
NodeID-3kUUeZB7umtaENekUfWxa1bxrAU2eq1AD,80373.64694961804
NodeID-LwXHkWth4f244zZ4j5wu5fZmrYDzJ6bda,76455.72743087512
NodeID-3DwhPYMEQABuocceWDAZEpi8GMcLyvTYy,76081.83893444517
NodeID-3pYadkBVuoW89eAP1rZMUgQ85s4tABTnC,74755.82756901902
NodeID-KCQARVq1pjYw31EPSaW9571giKoFH498X,74216.64424516006
NodeID-MGrikMRTmooL1j7uawPHjaMS1cXkbewdb,74048.25570707882
NodeID-Le5rVEBBPdgYEcEJpvYeKo36hRs75WE5S,64393.9776231669
NodeID-P5zxQ1Y22ztxzjunvJU1y8BiSjdP4RUwY,58262.868400795036
NodeID-D12qpTYhB3feogxvMBzS1QPvwyKyhRK8G,54017.56137272767
NodeID-32aVnE9HYv1FesKKbvvUh1ZvFU3ARNtR2,53224.70374049081
NodeID-CNyGDr2EvPqxfybfNLkpGWqMQHiZthJ3Q,52726.0992185931
NodeID-NtX4Q64xT4Yad8wdhQ4erSG6mi3DPUwzX,50432.5037396216
NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,49464.950067925995
NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,47496.494789986136
NodeID-D5yA7HbEr8AJ4yzwVZXsDtb4xhKkTRz73,46884.41983194507
NodeID-E14zCEsVh4oxzcWUVrs7kFGA8ffrhYvNn,46693.10052628478
NodeID-7JxkjT4JM3qzvQHrChv6YEJ96U9ziA8cb,45442.517139661
NodeID-7CCynVtyQVRBTCjzpfrsrSuaCTjXw7o3G,44242.682735672
NodeID-HdG8EdGWAy8LR8YPA8hndoa1uwwgGv1si,44051.08767299498
NodeID-KcCxyypJ5m55f17fbuzkKqeotY64DScum,43361.22414692689
NodeID-4gTwepTF5fcacXB7gdYZLTtfSFsYh4faj,42912.089578410065
NodeID-JarZPCP7whua3o4PEKzkgkZfJoVF8gQpv,42708.969465060996
NodeID-PfY5X2GWsSaj8y6usEji4HZmokHHdWsqi,42325.31576839199
NodeID-DmpJbuTeRUqsy34EhVdsJADSQ5Fn5EEVX,41980.879860996
NodeID-KtJLagoYnWfw2oBnRki63NcguiGjuA2Cr,41952.01345212096
NodeID-AePm1t63f4TKZayW3q4C2E6K4ZHTY2o2D,40712.395255313015
NodeID-AbfdkS6u8F8kxh2pPuK32KASNK4sSr4QR,40438.33319746418
NodeID-L7WQizfKW9Y1GZdL9oxKtp5QzgYhViySP,38828.00657555999
NodeID-NZEnXQpa55wAhwpcUZFgSAREXW1FLdkzQ,38682.64174083918
NodeID-8Qf7Rwuynw2wRaZECUD18yN2XbVxqrioM,37999.176838886
NodeID-NJ8iSYPYPqU9TyPbjadkNFyjjWJdCgpLg,37467.98414443001
NodeID-GMThg1PWUUXURr2XcRV3eYYpjViAW8hp1,36977.561217748
NodeID-5CJrhHPQdF5MKk6yvarjwBB7WJPBxPEAe,36778.541836793
NodeID-7khC7aRLU5i5FhYcsxT9rLkRGYWRQL1p3,35334.836639716996
NodeID-AFZ1tj1U2N8A7yfDgaZs5F3nZLSakrkKZ,35245.519513812
NodeID-NT7j7scLgNmdUcA3wLBfLGhHZyLFQgXWJ,35183.32104
NodeID-4C14DCL7eKVSnnvzN5X3EupQhMru7BCoJ,35087.89029904302
NodeID-5tMfoV9w5aRZsvUicCnpvbG3YiYmxJtwq,34907.257097186
NodeID-GMJcCQwhNFDGQy4NAkKM563BMudjmHpXb,34863.462066377986
NodeID-EhfEzYtoLFvi9jxGVsuUm9Cxp17XP9KTV,34775.185576208
NodeID-FYv1Lb29SqMpywYXH7yNkcFAzRF2jvm3K,34257.166598365
NodeID-738ej1TyMQDVYfCnYbWpnfkPtrqYMDx1i,34243.831166127995
NodeID-87VEJfHfQemDd9kf7vWpBTTJwEADiPwSx,33723.675227131
NodeID-JbpJyQjj7M64LojEddtMhpNMdQ8Q1ZycN,33621.525439884
NodeID-29sgUazwvdr4UWUw7twNtxdPsgRa4Qtyx,32987.594972653
NodeID-oHepztt2XZVe4hNEdcDTRPLDFe1dDrvv,32897.254056376
NodeID-2KoiHvgF4w3vpcpCQJx1TS1jhvUNUv1Di,32707.598715852997
NodeID-3h8popa4K8WLgXLtgbF8j5botxZn9pxCk,32640.489055913997
NodeID-7Coo9eki57kLLpAomUeKHR49DVDtve1rW,32546.325161911
NodeID-5UsA7b3WUcVMZY6cHrd6YE19QvrMsgCL4,32546.046612347
NodeID-Bn3EzrkXLAZ2R9JwE9iQzbwDLaRdoPbJm,32459.449736383995
NodeID-2JZva9683sZuXueZvphJfBnZLd9JTmy13,32422.650477152005
NodeID-4ZtjFSZbyaBH7VYmpzv9itjjnCUXXB4SJ,32301.480640758997
NodeID-GXrrnggKkYmEsNLFc7utBekRjdz1pBr94,32203.378179256
