Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Reward Type,nAVAX,Node,Time
2hBTeZDpF872FkNjbzoWam5uScKtHPYFRLWchFY43q7sd8ab9L,P-avax15ma9j6x7jg2maaz4sjcj65yrppegt0adghgwjy,delegatee,289243178,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-20T06:33:28Z
# block,279446,,,,
2uPT2LLgJkuVvtCJL7N4HhJYCDtmokRG9J1buxtwnF2pCWfBHN,P-avax1fzvqtr232p4g29trfq6uzyx7ez6mcrcp55uall,delegator,81070468367,NodeID-MGrikMRTmooL1j7uawPHjaMS1cXkbewdb,2021-01-20T08:53:34Z
2uPT2LLgJkuVvtCJL7N4HhJYCDtmokRG9J1buxtwnF2pCWfBHN,P-avax1p5xap8tu9448527uq58caaxv2tgree3qae7p6c,delegatee,1654499355,NodeID-MGrikMRTmooL1j7uawPHjaMS1cXkbewdb,2021-01-20T08:53:34Z
# block,279452,,,,
24AYodUxiFFW9hMLTjdo4U1ojQJcU5MZPMMh6xuHYR1Srt2u8y,P-avax1fcs9mw6mnnjttjp9w8q3qw77r2c6537vzdl6n8,delegator,3417674876,NodeID-3c3pgtHoAPprf55YAAXfMqJiTv3FJXdZz,2021-01-20T09:00:21Z
24AYodUxiFFW9hMLTjdo4U1ojQJcU5MZPMMh6xuHYR1Srt2u8y,P-avax1vxsr5x7nynazyk0yv6a0hj4rl4eg4csuvnrtna,delegatee,69748467,NodeID-3c3pgtHoAPprf55YAAXfMqJiTv3FJXdZz,2021-01-20T09:00:21Z
# block,279454,,,,
PKhJXd1XB1ysDqNSiw3FwttZdaSM526QX9hcbzLnZ7sxJMS5N,P-avax1vxsr5x7nynazyk0yv6a0hj4rl4eg4csuvnrtna,staking,20136873316,NodeID-3c3pgtHoAPprf55YAAXfMqJiTv3FJXdZz,2021-01-20T09:00:21Z
# block,279481,,,,
2aqqyaQDMzJkVm6ZWKjuqxDFvE2wTrsArcQEabtPHYRg935dXz,P-avax1fwdqhp7q8gu8jd8zz20j7c2hgzg5awa80ww4sn,delegator,512685922,NodeID-6yAy6J1h254tcp4fxHXpJYEtn6GUd48o3,2021-01-20T09:29:40Z
2aqqyaQDMzJkVm6ZWKjuqxDFvE2wTrsArcQEabtPHYRg935dXz,P-avax1h2ccj9f5ay5acl6tyn9mwmw32p8wref8vl8ctg,delegatee,26983470,NodeID-6yAy6J1h254tcp4fxHXpJYEtn6GUd48o3,2021-01-20T09:29:40Z
# block,279491,,,,
2GEXPhnRJzoyUDykn1a5wwu8kqKy1tcoqB4h6yrLomGUXswhwf,P-avax1wsmr7y9tw3csevfe0ssfvyvmpfsml0j6wud46z,delegator,26321547954,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-20T09:38:56Z
2GEXPhnRJzoyUDykn1a5wwu8kqKy1tcoqB4h6yrLomGUXswhwf,P-avax15ma9j6x7jg2maaz4sjcj65yrppegt0adghgwjy,delegatee,537174449,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-20T09:38:56Z
# block,279496,,,,
23bPMGKV3Q9GHeycDRyP8keoLk3MhRzFaVoRAdWLAL8uTiJTBi,P-avax1hpceg2ctmr3ey2dxzk5q2ygrf6055keqhtrsqk,delegator,26321535037,NodeID-7JxkjT4JM3qzvQHrChv6YEJ96U9ziA8cb,2021-01-20T09:43:06Z
23bPMGKV3Q9GHeycDRyP8keoLk3MhRzFaVoRAdWLAL8uTiJTBi,P-avax18wz8xuguywdcq6y2reumtr5l4umlgrrrgxmwfl,delegatee,537174185,NodeID-7JxkjT4JM3qzvQHrChv6YEJ96U9ziA8cb,2021-01-20T09:43:06Z
# block,279546,,,,
uTyn9ZoMKG8W1RTZnkGKfUqhKHrqGCFZSKfCFXWf6duBUoqew,P-avax1mzdw9th7pd4fxkz679vgp9l5m5ej78yk0qrgf5,staking,25038921351,NodeID-KkZX7xaSAUZ2sGBwpGWLSfLRER4pzR8Fs,2021-01-20T10:30:20Z
# block,279602,,,,
KKWT4T63GDHtB7tuF7HahgEeWE2xAZd3vtRgZCBqWaCmEZXdq,P-avax1stfrdjdvm3uqn8fr7786efcd70xj833xda9cg8,staking,16133697165,NodeID-7haZar18iKUdnps7YZEYbJCSwnFw4KMY1,2021-01-20T12:00:15Z
# block,279621,,,,
ErzhSTwB3jTaDW4LEtHU4rDUjfS56UMmy8NiJn5DdmLvbaHDB,P-avax1n2nsgsufuk66dep7cvh8wgepcfv97h5tx4h200,delegator,27947648285,NodeID-NYa1ebjSRTYXaxKCkTii1yJXGdkasbTWc,2021-01-20T12:25:58Z
ErzhSTwB3jTaDW4LEtHU4rDUjfS56UMmy8NiJn5DdmLvbaHDB,P-avax1ckakcjcc4pzw52u9leq4g4cpgqylp3xvayruwl,delegatee,570360170,NodeID-NYa1ebjSRTYXaxKCkTii1yJXGdkasbTWc,2021-01-20T12:25:58Z
# block,279644,,,,
23hy67py3Dg2CALKEYRRrS1iGNM46ze9tn8ZSbXWDJt54a7S6k,P-avax16q7was24tnmd23w90dm0cg70wj0ykcjpktwd7k,delegator,61397633578,NodeID-L9HsJPQ9TF5aXjdx3KnQrh1eWaHJaNXNj,2021-01-20T12:51:58Z
23hy67py3Dg2CALKEYRRrS1iGNM46ze9tn8ZSbXWDJt54a7S6k,P-avax19da64ch9hftd5lvufeled5y45w6rczndg4n6l6,delegatee,1253012931,NodeID-L9HsJPQ9TF5aXjdx3KnQrh1eWaHJaNXNj,2021-01-20T12:51:58Z
# block,279653,,,,
21fosisDAwDe78KZUjkNymwMcqiTjTZ95wZuFJd3UxuVazUnPv,P-avax16gnxg9rmyayfczuw6ganwact43vnkppnhp7keq,delegator,94541829,NodeID-NYNMabJTpEEMMtSjcFtcEcnRyed79zMT8,2021-01-20T12:58:49Z
21fosisDAwDe78KZUjkNymwMcqiTjTZ95wZuFJd3UxuVazUnPv,P-avax1gxu3y3h0l2406f37ptttuhy56hfk3wryat0t5d,delegatee,23635458,NodeID-NYNMabJTpEEMMtSjcFtcEcnRyed79zMT8,2021-01-20T12:58:49Z
# block,279657,,,,
1QEs6KsZHGYsoxv74n3BSUatBtcskZ8M3PjJuaLZsmqS3Penw,P-avax1w2v703xsl0x4rpx8v3mmhpu8l62u5aumvyegyh,delegator,1919660665,NodeID-JoLaV5ENumJnANHWE9jC75ghRxJ8qCwuZ,2021-01-20T13:01:33Z
1QEs6KsZHGYsoxv74n3BSUatBtcskZ8M3PjJuaLZsmqS3Penw,P-avax1cardk0g9vv8c5xuzftxz5uedg2uacujcj95724,delegatee,39176749,NodeID-JoLaV5ENumJnANHWE9jC75ghRxJ8qCwuZ,2021-01-20T13:01:33Z
# block,279670,,,,
2j5ohPMmDb7BRNUSyqeZ6ejtCt88KAR53LxPw69nizP7NxvSbc,P-avax1066qvzrrlfxkl85wvetzjj5psc9j2akgu02sq6,delegator,19400987318,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-20T13:12:33Z
2j5ohPMmDb7BRNUSyqeZ6ejtCt88KAR53LxPw69nizP7NxvSbc,P-avax15ma9j6x7jg2maaz4sjcj65yrppegt0adghgwjy,delegatee,395938517,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-20T13:12:33Z
# block,279682,,,,
